dataset,participant_id,case_segment,corruption,severity,seed,method,mae,rmse,retention,long_hallucination,short_recovery,movement_preservation,stable_preservation,unstable_repair_gain,unstable_repair_score,plausibility_score,long_safety,Q_local
Autism,52,Autism__52__seg26,short_gap,high,1,STRATUS-D,2.4871844182135785,9.15987524650592,1.0,,1.0,0.9581116127042196,0.9473684210526316,,,0.948019801980198,,0.9684933445856172
Autism,52,Autism__52__seg26,short_gap,high,1,Hybrid-P,10.610468322234752,21.504458105966474,1.0,,1.0,0.6970133798270693,0.7275541795665634,,,0.948019801980198,,0.8081891864645443
Autism,52,Autism__52__seg26,short_gap,high,1,STRATUS-H,10.167634488779992,21.07807805010908,1.0,,1.0,0.6948106400084032,0.7523219814241486,,,0.948019801980198,,0.8157108738108505
Autism,52,Autism__52__seg26,long_gap,high,1,Pointwise-D,2.217476048445396,10.652287734806936,0.7846534653465347,0.0,,0.9215877902397052,0.9377289377289376,,,0.9337539432176656,1.0,0.9531055759895478
Autism,52,Autism__52__seg26,long_gap,high,1,STRATUS-D,1.8471110642182664,9.157381052864295,0.7846534653465347,0.0,,0.93979171718052,0.9377289377289376,,,0.9337539432176656,1.0,0.959173551636486
Autism,52,Autism__52__seg26,long_gap,high,1,Hybrid-P,9.062608031895932,19.842759752188595,0.7846534653465347,0.0,,0.7307134177619484,0.7326007326007326,,,0.9337539432176656,1.0,0.8211047167875604
Autism,52,Autism__52__seg26,long_gap,high,1,STRATUS-H,8.253669301966863,18.367054040780197,0.7846534653465347,0.0,,0.7372312344161124,0.7582417582417582,,,0.9337539432176656,1.0,0.8318243308859569
Autism,52,Autism__52__seg26,jitter,high,1,Pointwise-D,3.2482831859629653,12.54134395920576,1.0,,,0.9097915185276942,0.9467084639498432,0.0,0.0,0.948019801980198,,0.6188333274925125
Autism,52,Autism__52__seg26,jitter,high,1,STRATUS-D,2.6548494722503237,9.848895974968732,1.0,,,0.9581116127042196,0.9467084639498432,0.0,0.0,0.948019801980198,,0.6349400255513543
Autism,52,Autism__52__seg26,jitter,high,1,Hybrid-P,10.454711215955376,21.463828792661133,1.0,,,0.7128113822274352,0.7304075235109718,-0.0013386534115362,0.0,0.948019801980198,,0.481072968579469
Autism,52,Autism__52__seg26,jitter,high,1,STRATUS-H,10.044818928346585,21.061426670439804,1.0,,,0.6948106400084032,0.7617554858934169,0.0677592135951384,0.0677592135951384,0.948019801980198,,0.5081084464989862
Autism,52,Autism__52__seg26,spike,high,1,Pointwise-D,3.4345777503890407,26.062421348013064,1.0,,,0.9654759205441612,0.9491017964071856,0.8781950241783021,0.8781950241783021,0.948019801980198,,0.9309242470432162
Autism,52,Autism__52__seg26,spike,high,1,STRATUS-D,5.220290194349326,37.48287919433867,1.0,,,0.9654759205441612,0.9491017964071856,0.7814541876413686,0.7814541876413686,0.948019801980198,,0.8986773015309052
Autism,52,Autism__52__seg26,spike,high,1,Hybrid-P,10.157234344392547,21.272001880485792,1.0,,,0.7112950977845178,0.7155688622754491,0.980011177669164,0.980011177669164,0.948019801980198,,0.802291712576377
Autism,52,Autism__52__seg26,spike,high,1,STRATUS-H,9.167234923168245,20.31170267166636,1.0,,,0.7060824706620433,0.7604790419161677,0.980011177669164,0.980011177669164,0.948019801980198,,0.8155242300824583
Autism,52,Autism__52__seg26,mixed,high,1,Pointwise-D,12.473981758160162,57.25666422469252,0.7970297029702971,0.0,1.0,0.9408742237449266,0.920704845814978,0.6220113643063416,0.6220113643063416,0.9347826086956522,1.0,0.8967180867732492
Autism,52,Autism__52__seg26,mixed,high,1,STRATUS-D,12.473981758160162,57.25666422469252,0.7970297029702971,0.0,1.0,0.9408742237449266,0.920704845814978,0.6220113643063416,0.6220113643063416,0.9347826086956522,1.0,0.8967180867732492
Autism,52,Autism__52__seg26,mixed,high,1,Hybrid-P,13.271906322610793,23.744307716606027,0.7970297029702971,0.0,1.0,0.6530229341912817,0.6828193832599119,0.9290525741713798,0.9290525741713798,0.9347826086956522,1.0,0.8529789783245146
Autism,52,Autism__52__seg26,mixed,high,1,STRATUS-H,12.180223416794233,23.019310008967395,0.7970297029702971,0.0,1.0,0.6446846420956026,0.73568281938326,0.921674519524299,0.921674519524299,0.9347826086956522,1.0,0.8604083962006325
Autism,53,Autism__53__seg27,short_gap,low,0,Pointwise-D,2.2414727002934685,18.62164357436493,1.0,,1.0,0.9585608842735064,1.0,,,1.0,,0.986186961424502
Autism,53,Autism__53__seg27,short_gap,low,0,STRATUS-D,1.8239144529642204,17.525433193012418,1.0,,1.0,1.0,1.0,,,1.0,,1.0
Autism,53,Autism__53__seg27,short_gap,low,0,Hybrid-P,3.285462296471381,19.01137779509133,1.0,,1.0,0.8861209196991993,0.9149560117302052,,,1.0,,0.9336923104764682
Autism,53,Autism__53__seg27,short_gap,low,0,STRATUS-H,3.083155042309224,19.13693166565074,1.0,,1.0,0.8732009550523504,0.9648093841642228,,,1.0,,0.9460034464055244
Autism,53,Autism__53__seg27,long_gap,low,0,Pointwise-D,0.4498494184560431,6.53369105001861,0.9282178217821784,0.0,,0.9585608842735064,1.0,,,1.0,1.0,0.986186961424502
Autism,53,Autism__53__seg27,long_gap,low,0,STRATUS-D,0.0,0.0,0.9282178217821784,0.0,,1.0,1.0,,,1.0,1.0,1.0
