corruption,method,mae,rmse,retention,long_hallucination,short_recovery,movement_preservation,stable_preservation,unstable_repair_gain,unstable_repair_score,plausibility_score,long_gap_conservatism,local_action_score
short_gap,STRATUS-D,2.6507600419381436,15.458638431563482,1.0,,1.0,0.9600525168538385,0.9691532033982002,,,0.9745403111739745,,
short_gap,global_interpolate,1.909653113918616,10.526632314032295,1.0,,1.0,1.0,1.0,,,0.9743635077793493,,
short_gap,global_smooth,15.86984367675293,31.91861014538733,0.969140112567589,,0.3248851540616246,0.37917087265610433,0.0,,,0.9750727460773807,,
short_gap,interp_smooth,17.043935820424785,34.1342103589065,1.0,,1.0,0.3807562145271883,0.0,,,0.9757779349363508,,
short_gap,raw_degraded,0.0,0.0,0.9569934284539385,,0.0,1.0,1.0,,,0.9732075462111572,,
short_gap,robust_clip,0.5787637315739238,1.7272288233017508,0.9569934284539385,,0.0,0.9981007768358923,0.9716421196606598,,,1.0,,
short_gap,short_gap_only,1.909653113918616,10.526632314032295,1.0,,1.0,1.0,1.0,,,0.9743635077793493,,
spike,Oracle_policy,0.39536988271671664,4.766132793934719,1.0,,,0.9855824208985217,1.0,0.9748956585731474,0.9748956585731474,0.9743870815652994,,
spike,STRATUS-BW,8.726652554498491,71.70572399144186,1.0,,,0.8316252442429843,0.9580326577547333,0.4767406151735945,0.4767406151735945,0.9721647930099132,,
spike,STRATUS-D,6.8094974310572445,59.05400097931092,1.0,,,0.8622330758082918,0.9696952598336722,0.5245487034950691,0.5245487034950691,0.9746463932107496,,
spike,global_interpolate,19.71510771547671,130.22403221077417,1.0,,,0.7256139682335798,1.0,0.0,0.0,0.9631382234196261,,
spike,global_smooth,32.54242433530478,61.87089904277281,1.0,,,0.407690150654389,0.0,0.83628720120431,0.83628720120431,0.9774330174966668,,
spike,interp_smooth,32.54242433530478,61.87089904277281,1.0,,,0.407690150654389,0.0,0.83628720120431,0.83628720120431,0.9774330174966668,,
spike,raw_degraded,19.71510771547671,130.22403221077417,1.0,,,0.7256139682335798,1.0,0.0,0.0,0.9631382234196261,,
spike,robust_clip,15.791525271144225,99.80068294212604,1.0,,,0.7562715218369389,0.9728187422187118,0.1568892055804509,0.1568892055804509,1.0,,
spike,short_gap_only,19.71510771547671,130.22403221077417,1.0,,,0.7256139682335798,1.0,0.0,0.0,0.9631382234196261,,
