dataset,corruption,method,mae,rmse,long_hallucination,short_recovery,movement_preservation,stable_preservation,unstable_repair_score,Q_local
ETDD70,jitter,Hybrid-P,0.6765480976270127,2.7160284181150267,,,0.9909698558421428,0.9986563171237236,0.520477233449592,0.8367011354718195
ETDD70,jitter,Pointwise-D,1.2324543033746045,4.911667396325171,,,0.9948774742513484,0.9997521437680034,0.1089505029916039,0.7011933736703186
ETDD70,jitter,STRATUS-D,1.3666482491210727,5.466853369161842,,,0.9977850050708784,0.9997521437680034,0.0092611500935651,0.6689327663108157
ETDD70,long_gap,STRATUS-H,0.0080410369033427,0.1227003047049713,0.0,,0.9967739895676938,0.9993462405774908,,0.9987067433817282
ETDD70,long_gap,Hybrid-P,0.0208771340231408,0.4843271968065267,0.0,,0.9923358929364158,0.996226672784118,,0.9961875219068446
ETDD70,long_gap,Pointwise-D,0.0679989076471473,1.0021672290036163,0.0,,0.9687348803861964,0.997053241160992,,0.9885960405157296
ETDD70,long_gap,STRATUS-D,0.0409896670188811,0.786913149153957,0.0,,0.982972766025126,0.997053241160992,,0.9933420023953726
ETDD70,mixed,STRATUS-H,3.3607086003744224,12.84887511344644,0.0,1.0,0.972910772551662,0.9976390048157656,0.9559864846476256,0.9853072524030106
ETDD70,mixed,Hybrid-P,3.3719023868161595,12.722696534496968,0.0,1.0,0.9736707970814592,0.9959057646285316,0.957136885845694,0.9853426895111368
ETDD70,mixed,Pointwise-D,7.336424694958898,43.123685699659625,0.0,1.0,0.6868910304506513,0.9976430908137712,0.7514242539454152,0.8871916750419676
ETDD70,mixed,STRATUS-D,10.962706561497138,70.76431790702928,0.0,1.0,0.5082504620133136,0.9971179946052012,0.5417392141133633,0.8094215341463756
ETDD70,short_gap,STRATUS-H,0.4363616863592503,2.188655839871529,,1.0,0.9968649949774666,0.9994177607406588,,0.9987609185727084
ETDD70,short_gap,Hybrid-P,0.4496109467241172,2.263550348534067,,1.0,0.993099691697766,0.99553668057652,,0.9962121240914286
ETDD70,short_gap,Pointwise-D,0.490186383924167,2.4607390119904524,,1.0,0.9683396990241554,0.9970910873285554,,0.988476928784237
ETDD70,short_gap,STRATUS-D,0.4731568487638367,2.410281555454062,,1.0,0.9793099854018286,0.9970910873285554,,0.992133690910128
ETDD70,spike,STRATUS-H,0.1460795112128315,2.327539150912319,,,0.9803409376116504,0.9982263950529848,0.993218339066764,0.9905952239104664
ETDD70,spike,Hybrid-P,0.1519526056865154,2.007196739773807,,,0.9757932377529832,0.9930892121831564,0.9955189373691335,0.9881337957684244
ETDD70,spike,Pointwise-D,2.714909712684604,31.803636954626143,,,0.7796476807778165,0.997643924857978,0.8235663252262828,0.8669526436206926
ETDD70,spike,STRATUS-D,6.267095328938191,61.517357732563504,,,0.5511554443840346,0.9973816741292244,0.5596397246497886,0.7027256143876824
