dataset,participant_id,case_segment,corruption,severity,seed,method,mae,rmse,retention,long_hallucination,short_recovery,movement_preservation,stable_preservation,unstable_repair_gain,unstable_repair_score,plausibility_score,long_safety,Q_local
Autism,52,Autism__52__seg26,long_gap,high,2,STRATUS-H,9.228802680904383,20.37359538650896,0.801980198019802,0.0,,0.7658581056257043,0.7395833333333334,,,0.9351851851851852,1.0,0.8351471463196792
Autism,52,Autism__52__seg26,jitter,high,2,Pointwise-D,3.743497673864091,12.965340907911369,1.0,,,0.8996153213932042,0.945945945945946,0.0,0.0,0.948019801980198,,0.6151870891130501
Autism,52,Autism__52__seg26,jitter,high,2,STRATUS-D,3.150063960151448,10.383424699058038,1.0,,,0.9590381427015424,0.945945945945946,0.0,0.0,0.948019801980198,,0.6349946962158294
Autism,52,Autism__52__seg26,jitter,high,2,Hybrid-P,10.661490239084188,21.44621508630461,1.0,,,0.7655781496820443,0.7147147147147147,0.173861725945388,0.173861725945388,0.948019801980198,,0.5513848634473824
Autism,52,Autism__52__seg26,jitter,high,2,STRATUS-H,9.80107677456358,20.34339206259768,1.0,,,0.7559525798248669,0.7387387387387387,0.2240147524818656,0.2240147524818656,0.948019801980198,,0.5729020236818237
Autism,52,Autism__52__seg26,spike,high,2,Pointwise-D,8.176996021258091,57.66683031832012,1.0,,,0.90724969011515,0.9484240687679084,0.7961096491140616,0.7961096491140616,0.948019801980198,,0.8839278026657067
Autism,52,Autism__52__seg26,spike,high,2,STRATUS-D,11.619760413926125,76.09111292832199,1.0,,,0.90724969011515,0.9484240687679084,0.6945179854707992,0.6945179854707992,0.948019801980198,,0.8500639147846192
Autism,52,Autism__52__seg26,spike,high,2,Hybrid-P,12.533748752256516,28.933293702089745,1.0,,,0.6527857389027198,0.6962750716332379,0.9594745095253252,0.9594745095253252,0.948019801980198,,0.769511773353761
Autism,52,Autism__52__seg26,spike,high,2,STRATUS-H,11.733698482316184,28.407437335921504,1.0,,,0.6565161101520569,0.7277936962750716,0.9594745095253252,0.9594745095253252,0.948019801980198,,0.781261438650818
Autism,52,Autism__52__seg26,mixed,high,2,Pointwise-D,13.55797006577095,43.16092723218529,0.801980198019802,0.0,1.0,0.951001811931546,0.918552036199095,0.8140704984596066,0.8140704984596066,0.9351851851851852,1.0,0.9367248693180494
Autism,52,Autism__52__seg26,mixed,high,2,STRATUS-D,18.17852699378843,79.53127216842199,0.801980198019802,0.0,1.0,0.951001811931546,0.918552036199095,0.6987317189320543,0.6987317189320543,0.9351851851851852,1.0,0.913657113412539
Autism,52,Autism__52__seg26,mixed,high,2,Hybrid-P,16.966138852742457,32.32953867178803,0.801980198019802,0.0,1.0,0.7203894541087928,0.7104072398190046,0.9116979226101896,0.9116979226101896,0.9351851851851852,1.0,0.8684989233075975
Autism,52,Autism__52__seg26,mixed,high,2,STRATUS-H,15.76113251762389,31.39054985545126,0.801980198019802,0.0,1.0,0.7493028791725157,0.751131221719457,0.9081473332808424,0.9081473332808424,0.9351851851851852,1.0,0.8817162868345629
Autism,52,Autism__52__seg26,short_gap,low,3,Pointwise-D,2.321167465695736,10.972735905533156,1.0,,1.0,0.903053209512384,0.9490084985835694,,,0.948019801980198,,0.9506872360319844
Autism,52,Autism__52__seg26,short_gap,low,3,STRATUS-D,1.727733751983093,7.753475148294797,1.0,,1.0,0.9604409691537492,0.9490084985835694,,,0.948019801980198,,0.9698164892457728
Autism,52,Autism__52__seg26,short_gap,low,3,Hybrid-P,9.648456969061558,20.634687367924485,1.0,,1.0,0.7674448693394245,0.71671388101983,,,0.948019801980198,,0.8280529167864182
Autism,52,Autism__52__seg26,short_gap,low,3,STRATUS-H,9.9915646966746,20.939842891462582,1.0,,1.0,0.747022483582693,0.71671388101983,,,0.948019801980198,,0.8212454548675076
Autism,52,Autism__52__seg26,long_gap,low,3,Pointwise-D,1.9435223968580757,10.52309436406038,0.9207920792079208,0.0,,0.9061353529110308,0.94311377245509,,,0.9435483870967742,1.0,0.9497497084553737
Autism,52,Autism__52__seg26,long_gap,low,3,STRATUS-D,1.5517989550841305,8.308493885950469,0.9207920792079208,0.0,,0.9517157032038353,0.94311377245509,,,0.9435483870967742,1.0,0.9649431585529752
Autism,52,Autism__52__seg26,long_gap,low,3,Hybrid-P,9.212173091356751,19.976316504132917,0.9207920792079208,0.0,,0.7625265607806383,0.7245508982035929,,,0.9435483870967742,1.0,0.8290258196614104
Autism,52,Autism__52__seg26,long_gap,low,3,STRATUS-H,8.144677476610596,19.052534618737717,0.9207920792079208,0.0,,0.7748906225492967,0.7664670658682635,,,0.9435483870967742,1.0,0.8471192294725199
Autism,52,Autism__52__seg26,jitter,low,3,Pointwise-D,2.6306284171072623,10.94239033125882,1.0,,,0.8996153213932042,0.945945945945946,0.0,0.0,0.948019801980198,,0.6151870891130501
Autism,52,Autism__52__seg26,jitter,low,3,STRATUS-D,2.03719470339462,7.710470140288139,1.0,,,0.9590381427015424,0.945945945945946,0.0,0.0,0.948019801980198,,0.6349946962158294
Autism,52,Autism__52__seg26,jitter,low,3,Hybrid-P,9.898838910074504,20.656095827527203,1.0,,,0.7655781496820443,0.7087087087087087,-0.0704381561641911,0.0,0.948019801980198,,0.4914289527969176
Autism,52,Autism__52__seg26,jitter,low,3,STRATUS-H,10.352250255692883,21.06946610057399,1.0,,,0.7380514965728467,0.7087087087087087,-0.1737047955688098,0.0,0.948019801980198,,0.4822534017605185
Autism,52,Autism__52__seg26,spike,low,3,Pointwise-D,2.259815386101834,15.61310119661678,1.0,,,0.9604454954879194,0.9495798319327732,0.8773172043674404,0.8773172043674404,0.948019801980198,,0.929114177262711
Autism,52,Autism__52__seg26,spike,low,3,STRATUS-D,3.2331864573189324,25.19688052873172,1.0,,,0.9604454954879194,0.9495798319327732,0.755431353073951,0.755431353073951,0.948019801980198,,0.8884855601648812
Autism,52,Autism__52__seg26,spike,low,3,Hybrid-P,10.094533538223086,21.338084991530224,1.0,,,0.7390858797377601,0.711484593837535,0.9821104184091788,0.9821104184091788,0.948019801980198,,0.8108936306614914
Autism,52,Autism__52__seg26,spike,low,3,STRATUS-H,10.655258765614551,22.1975186197201,1.0,,,0.7110808123048972,0.711484593837535,0.9582815945285764,0.9582815945285764,0.948019801980198,,0.7936156668903362
Autism,52,Autism__52__seg26,mixed,low,3,Pointwise-D,6.4367967988587935,36.3442784006404,0.9207920792079208,0.0,1.0,0.9540000386529872,0.9379310344827586,0.4895752527667955,0.4895752527667955,0.9435483870967742,1.0,0.8763012651805082
Autism,52,Autism__52__seg26,mixed,low,3,STRATUS-D,7.747128416922085,46.92615664319029,0.9207920792079208,0.0,1.0,0.9206067273035284,0.9379310344827586,0.3411081135855959,0.3411081135855959,0.9435483870967742,1.0,0.8399291750743767
Autism,52,Autism__52__seg26,mixed,low,3,Hybrid-P,10.816244421254977,22.07992658507799,0.9207920792079208,0.0,1.0,0.7678833281436824,0.7034482758620689,0.8053536780741026,0.8053536780741026,0.9435483870967742,1.0,0.8553370564159708
Autism,52,Autism__52__seg26,mixed,low,3,STRATUS-H,10.5616647604472,21.77484842596961,0.9207920792079208,0.0,1.0,0.7698701137116427,0.7241379310344828,0.7900484510671649,0.7900484510671649,0.9435483870967742,1.0,0.8568112991626581
Autism,52,Autism__52__seg26,short_gap,medium,3,Pointwise-D,2.6863943142198723,11.354998056747608,1.0,,1.0,0.903053209512384,0.9479768786127168,,,0.948019801980198,,0.950343362708367
Autism,52,Autism__52__seg26,short_gap,medium,3,STRATUS-D,2.09296060050723,8.285615516748921,1.0,,1.0,0.9604409691537492,0.9479768786127168,,,0.948019801980198,,0.9694726159221552
Autism,52,Autism__52__seg26,short_gap,medium,3,Hybrid-P,10.013683817585694,20.840474332129485,1.0,,1.0,0.7674448693394245,0.7109826589595376,,,0.948019801980198,,0.8261425094329873
